"HEADWORD","DEFINITION","PART OF SPEECH","SEMANTIC GROUP","FREQUENCY RANK"
"δαίμων δαίμονος, ὁ/ἡ","spirit, god, demon","noun: 3rd declension consonant stem","Religion","482"
"οὐκοῦν","surely then (inviting assent to an inference)","adverb","Particles","483"
"γλῶσσα γλώσσης, ἡ","tongue; language","noun: 1st declension","Body Parts","484"
"ἑπτά","seven","adjective: numeral","Measurements and Numerals","485"
"τολμάω, τολμήσω, ἐτόλμησα, τετόλμηκα, τετόλμημαι, ἐτολμήθην","have the courage, dare; undertake, undergo","verb: contracted","The Senses and Feelings","486"
"δεσπότης –ου, ὁ","master (of the household); absolute ruler","noun: 1st declension","Government and Society","487"
"εἰκός εἰκότος, τό","likelihood, probability; εἰκός (ἐστι) it is likely (+infin.) →ἔοικα","noun: 3rd declension consonant stem","The Mind, Perceiving and Learning","488"
"ἄδικος ἄδικον","unjust","adjective: 1st and 2nd declension","Ethics and Morals","489"
"εἴκοσι(ν)","twenty","adjective: numeral","Measurements and Numerals","490"
"μυρίος μυρία μυρίον","countless; μύριοι 10,000; μυριάς -άδος ἡ 10,000, a countless amount","adjective: 1st and 2nd declension","Measurements and Numerals","491"
"αὐτίκα","at once, immediately","adverb","Time","492"
"δέκατος –η –ον","tenth","adjective: numeral","Measurements and Numerals","493"
"βαίνω, βήσομαι, 2 aor. ἔβην, βέβηκα","walk, come, go","verb: -ω liquid stem","Movement","494"
"περ","[enclitic added to pronouns and other particles for emphasis]","adverb","Particles","495"
"ἐλεύθερος ἐλευθέρα ἐλεύθερον","free, independent","adjective: 1st and 2nd declension","Government and Society","496"
"στρατιά –ᾶς, ἡ","army","noun: 1st declension","War and Peace","497"
"ἀμφί","about, around","preposition","Direction","498"
"συμφορά –ᾶς, ἡ","event, circumstance, misfortune","noun: 1st declension","Life and Death","499"
"ἑκατόν","hundred","adjective: numeral","Measurements and Numerals","500"
"νίκη νίκης, ἡ","victory","noun: 1st declension","War and Peace","501"
"ἔπος ἔπους, τό","word, speech, tale; prophecy","noun: 3rd declension σ-stem","Writing and Talking","502"
"στρατός –οῦ, ὁ","army","noun: 2nd declension","War and Peace","503"
"φράζω, φράσω, ἔφρασα, πέφρακα, πέφρασμαι, ἐφράσθην","tell, declare; (mid. and pass.) think (about)","verb: -ω dental stem","Writing and Talking","504"
"ἀργύριον ἀργυρίου, τό","money","noun: 2nd declension","Government and Society","505"
"τριάκοντα","thirty","adjective: numeral","Measurements and Numerals","506"
"ἕξ","six","adjective: numeral","Measurements and Numerals","507"
"πεμπτός –ή –όν","fifth","adjective: numeral","Measurements and Numerals","508"
"μάρτυς μάρτυρος, ὁ/ἡ","witness","noun: 3rd declension consonant stem","Law and Judgment","509"
"χαλκοῦς –ῆ –οῦν","of copper or bronze","adjective: 1st and 2nd declension","Earth","510"
"ἕβδομος –η –ον","seventh","adjective: numeral","Measurements and Numerals","511"
"ποῦ","where ","pronoun","Pronouns/Interrogatives","512"
"ναί","indeed, yes (used in strong affirmation)","adverb","Particles","513"
"φῶς φωτός, τό","light, daylight","noun: 3rd declension consonant stem","World Order","514"
"ὀκτώ","eight","adjective: numeral","Measurements and Numerals","515"
"ἕκτος –η –ον","sixth","adjective: numeral","Measurements and Numerals","516"
"τριακοστός –ή –όν","thirtieth","adjective: numeral","Measurements and Numerals","517"
"ἐννέα","nine","adjective: numeral","Measurements and Numerals","518"
"πότε","when?","adverb","Time","519"
"ὄγδοος –η –ον","eighth","adjective: numeral","Measurements and Numerals","520"
"ἔνατος –α –ον","ninth","adjective: numeral","Measurements and Numerals","521"
"εἰκοστός –ή –όν","twentieth","adjective: numeral","Measurements and Numerals","522"
"ἀγγέλλω, ἀγγελῶ, ἤγγειλα, ἤγγελκα, ἤγγελμαι, ἠγγέλθην","report, tell","verb: -ω liquid stem","Writing and Talking","523"
"ἑκατοστός –ή –όν","hundredth","adjective: numeral","Measurements and Numerals","524"
